name,label
train/dog/9871_dog.png,dog
train/cat/47973_cat.png,cat
train/cat/36609_cat.png,cat
test/airplane/5703_airplane.png,airplane
test/airplane/9356_airplane.png,airplane
train/airplane/30172_airplane.png,airplane
train/dog/33172_dog.png,dog
train/truck/12712_truck.png,truck
test/bird/6475_bird.png,bird
train/horse/10358_horse.png,horse
train/airplane/41274_airplane.png,airplane
train/automobile/38075_automobile.png,automobile
test/cat/6060_cat.png,cat
train/automobile/3620_automobile.png,automobile
train/frog/9029_frog.png,frog
train/ship/610_ship.png,ship
train/horse/28589_horse.png,horse
train/frog/31948_frog.png,frog
train/automobile/14417_automobile.png,automobile
train/horse/4790_horse.png,horse
train/ship/12544_ship.png,ship
train/deer/38283_deer.png,deer
train/ship/609_ship.png,ship
train/dog/9274_dog.png,dog
train/horse/20690_horse.png,horse
train/airplane/6518_airplane.png,airplane
train/truck/22199_truck.png,truck
test/ship/613_ship.png,ship
train/airplane/18047_airplane.png,airplane
train/dog/49333_dog.png,dog
train/airplane/5130_airplane.png,airplane
test/bird/1297_bird.png,bird
train/frog/22157_frog.png,frog
train/ship/18842_ship.png,ship
train/frog/27120_frog.png,frog
train/cat/17003_cat.png,cat
train/deer/43196_deer.png,deer
train/ship/28762_ship.png,ship
train/truck/34271_truck.png,truck
test/cat/5176_cat.png,cat
train/airplane/6440_airplane.png,airplane
train/ship/1996_ship.png,ship
train/airplane/41588_airplane.png,airplane
train/bird/21859_bird.png,bird
train/horse/12625_horse.png,horse
test/automobile/8579_automobile.png,automobile
train/cat/21277_cat.png,cat
test/airplane/767_airplane.png,airplane
train/frog/18090_frog.png,frog
train/dog/17501_dog.png,dog
train/deer/20798_deer.png,deer
test/dog/431_dog.png,dog
train/truck/29507_truck.png,truck
train/cat/22916_cat.png,cat
train/dog/2081_dog.png,dog
train/dog/24274_dog.png,dog
train/bird/24366_bird.png,bird
train/frog/23086_frog.png,frog
train/ship/49321_ship.png,ship
train/deer/13186_deer.png,deer
train/ship/36505_ship.png,ship
train/truck/20516_truck.png,truck
train/dog/4135_dog.png,dog
train/frog/19511_frog.png,frog
train/ship/29882_ship.png,ship
test/deer/5187_deer.png,deer
train/airplane/37061_airplane.png,airplane
train/bird/35764_bird.png,bird
train/deer/47232_deer.png,deer
train/dog/26987_dog.png,dog
train/horse/3699_horse.png,horse
train/frog/49533_frog.png,frog
train/frog/6926_frog.png,frog
train/airplane/21275_airplane.png,airplane
test/ship/5847_ship.png,ship
train/cat/24174_cat.png,cat
test/automobile/9694_automobile.png,automobile
train/truck/42127_truck.png,truck
train/dog/6100_dog.png,dog
train/automobile/9380_automobile.png,automobile
test/truck/9219_truck.png,truck
train/automobile/498_automobile.png,automobile
train/ship/48175_ship.png,ship
train/airplane/40516_airplane.png,airplane
test/ship/7768_ship.png,ship
test/ship/1279_ship.png,ship
train/automobile/41063_automobile.png,automobile
train/automobile/761_automobile.png,automobile
train/frog/37725_frog.png,frog
train/deer/2629_deer.png,deer
test/airplane/7681_airplane.png,airplane
test/bird/1859_bird.png,bird
test/truck/644_truck.png,truck
train/horse/25778_horse.png,horse
train/ship/44528_ship.png,ship
train/frog/16960_frog.png,frog
train/horse/8469_horse.png,horse
train/cat/46204_cat.png,cat
train/cat/9667_cat.png,cat
train/dog/24190_dog.png,dog
train/automobile/593_automobile.png,automobile
test/bird/2383_bird.png,bird
train/airplane/24072_airplane.png,airplane
test/bird/7831_bird.png,bird
train/bird/46800_bird.png,bird
train/dog/41113_dog.png,dog
train/horse/4671_horse.png,horse
train/dog/5517_dog.png,dog
train/dog/45450_dog.png,dog
train/frog/24928_frog.png,frog
train/airplane/39723_airplane.png,airplane
test/airplane/4040_airplane.png,airplane
train/deer/20173_deer.png,deer
test/bird/2038_bird.png,bird
train/cat/10931_cat.png,cat
train/airplane/23157_airplane.png,airplane
train/frog/24973_frog.png,frog
train/bird/31495_bird.png,bird
test/airplane/6302_airplane.png,airplane
train/automobile/10079_automobile.png,automobile
train/horse/5525_horse.png,horse
test/frog/8408_frog.png,frog
test/bird/3454_bird.png,bird
train/horse/13547_horse.png,horse
train/frog/29720_frog.png,frog
train/frog/31042_frog.png,frog
train/frog/6545_frog.png,frog
train/horse/40454_horse.png,horse
train/cat/49468_cat.png,cat
train/frog/31895_frog.png,frog
test/bird/6040_bird.png,bird
train/automobile/16588_automobile.png,automobile
test/dog/8173_dog.png,dog
train/truck/44289_truck.png,truck
train/automobile/49225_automobile.png,automobile
train/automobile/41404_automobile.png,automobile
train/truck/11457_truck.png,truck
train/truck/39065_truck.png,truck
train/horse/48741_horse.png,horse
train/horse/1890_horse.png,horse
train/frog/37956_frog.png,frog
train/ship/12318_ship.png,ship
test/horse/6807_horse.png,horse
train/airplane/49100_airplane.png,airplane
train/ship/46462_ship.png,ship
train/cat/45667_cat.png,cat
train/horse/27910_horse.png,horse
train/automobile/48263_automobile.png,automobile
train/deer/5256_deer.png,deer
train/horse/31777_horse.png,horse
train/horse/48720_horse.png,horse
train/bird/11730_bird.png,bird
train/frog/47465_frog.png,frog
train/automobile/4661_automobile.png,automobile
train/frog/46124_frog.png,frog
test/cat/7352_cat.png,cat
train/horse/31818_horse.png,horse
train/bird/6018_bird.png,bird
train/truck/11275_truck.png,truck
train/frog/5025_frog.png,frog
train/cat/45433_cat.png,cat
test/airplane/4510_airplane.png,airplane
train/cat/38994_cat.png,cat
train/airplane/43542_airplane.png,airplane
train/airplane/23485_airplane.png,airplane
train/airplane/34919_airplane.png,airplane
train/cat/10788_cat.png,cat
test/dog/5776_dog.png,dog
test/horse/2417_horse.png,horse
train/ship/42266_ship.png,ship
train/frog/3004_frog.png,frog
train/cat/46056_cat.png,cat
train/frog/42415_frog.png,frog
train/airplane/27497_airplane.png,airplane
test/frog/8038_frog.png,frog
train/truck/11292_truck.png,truck
train/truck/16343_truck.png,truck
train/airplane/18808_airplane.png,airplane
train/bird/10417_bird.png,bird
train/automobile/22421_automobile.png,automobile
test/cat/863_cat.png,cat
train/deer/48896_deer.png,deer
test/automobile/7892_automobile.png,automobile
train/airplane/17093_airplane.png,airplane
train/cat/41461_cat.png,cat
train/horse/47638_horse.png,horse
test/bird/1758_bird.png,bird
test/deer/8180_deer.png,deer
train/deer/9816_deer.png,deer
test/bird/3076_bird.png,bird
train/automobile/15172_automobile.png,automobile
train/airplane/22800_airplane.png,airplane
train/ship/2012_ship.png,ship
train/bird/15995_bird.png,bird
train/automobile/39023_automobile.png,automobile
test/truck/2887_truck.png,truck
train/dog/12015_dog.png,dog
train/truck/34665_truck.png,truck
train/dog/24702_dog.png,dog
train/ship/49372_ship.png,ship
train/horse/29486_horse.png,horse
train/ship/49415_ship.png,ship
train/airplane/17076_airplane.png,airplane
train/frog/44018_frog.png,frog
train/ship/42963_ship.png,ship
train/cat/9995_cat.png,cat
train/automobile/41192_automobile.png,automobile
test/horse/5922_horse.png,horse
test/ship/8975_ship.png,ship
train/dog/30698_dog.png,dog
train/airplane/5972_airplane.png,airplane
train/horse/38688_horse.png,horse
train/ship/6322_ship.png,ship
train/deer/43756_deer.png,deer
train/deer/44846_deer.png,deer
train/deer/9569_deer.png,deer
